name,season,pos,pa,war,split,xWAR_lin,xWAR_rf,xWAR_xgb
Juan Soto,2021,RF,654,6.8,train,7.040739026529783,7.1422097914199965,7.318059836807478
Fernando Tatis Jr.,2021,SS,546,6.8,test,6.602310353424256,6.589548937868377,6.442419887013683
Bryan Reynolds,2021,CF,646,6.3,train,6.197081610816503,6.853806590174279,6.885074398971331
Jose Ramirez,2021,3B,636,6.4,test,6.130686573875614,5.595467714071225,6.527471014040398
Carlos Correa,2021,SS,640,6.3,train,5.9367726508771,6.069010399647247,6.04462851740305
Manny Machado,2021,3B,640,4.5,train,5.843401111567008,4.899452922455148,4.932473444493239
Shohei Ohtani,2021,DH,639,5.0,train,5.566695324596415,5.4477878598707274,5.235486303077925
Vladimir Guerrero Jr.,2021,1B,698,6.3,test,5.330874064811798,5.300061357833207,5.864025311605984
Bryce Harper,2021,RF,599,6.6,train,5.255210662716351,5.870504297854462,6.398219261173426
Aaron Judge,2021,RF,633,5.5,test,5.151226061564301,5.792674078131234,6.857280505048407
Freddie Freeman,2021,1B,695,4.7,train,5.130833680834531,5.458560888123149,5.612296022588979
Josh Donaldson,2021,3B,543,3.4,train,4.968706921677914,3.999855846065892,3.779419875253442
Brandon Crawford,2021,SS,549,6.2,train,4.9144368492674,5.490337907819082,5.307196779596487
Paul Goldschmidt,2021,1B,679,4.8,train,4.9126153127671435,5.065121436824296,5.057006675297736
Max Muncy,2021,1B,592,4.5,train,4.909419148840826,4.556400171753555,4.447229098233603
Francisco Lindor,2021,SS,524,3.9,train,4.59040114851961,4.195293498066869,4.126437467439365
Joey Votto,2021,1B,533,3.5,train,4.549920491162012,4.261446146629973,4.251724168206358
Trea Turner,2021,SS,646,7.1,test,4.473538571917823,4.224514151222426,4.2560018581784655
Cedric Mullins,2021,CF,675,6.0,test,4.295423354278917,4.64178230168204,4.274610490836501
Marcus Semien,2021,2B,724,5.9,test,4.207679552230185,4.499789163190282,4.11616837909149
Jose Altuve,2021,2B,678,5.3,train,4.194496386818469,4.72752689826403,4.697431747658215
Joey Gallo,2021,RF,616,4.4,train,4.057663988127222,3.668299938253439,3.5250826297850573
Bo Bichette,2021,SS,690,4.9,test,4.055743822798245,4.275238341044247,4.322621045062166
Mike Zunino,2021,C,375,4.1,train,4.048052326998294,3.6579792479631497,3.7495363449017995
Rafael Devers,2021,3B,664,4.2,test,4.044986905796564,3.882043212248281,3.970429277569046
Nicky Lopez,2021,SS,565,5.5,train,4.0121235123194605,4.5665525187807035,4.491021106126413
Matt Olson,2021,1B,673,5.0,test,3.9562765940576226,3.687472955227387,3.391904434870194
Austin Riley,2021,3B,662,5.1,train,3.952872091495317,4.939904807259162,5.1165753510079925
Tommy Edman,2021,2B,691,3.0,test,3.946315265231621,2.9744588985895013,2.162739125946134
Pete Alonso,2021,1B,637,3.5,train,3.9085296583608478,3.4369156987013034,3.373821840507779
Will Smith,2021,C,501,4.6,train,3.882189719383394,4.321344674115799,4.337456951693808
Ronald Acuna Jr.,2021,RF,360,4.4,test,3.8561363997199316,3.8527384198479573,4.553812246375963
Starling Marte,2021,CF,526,5.2,train,3.835063915397904,4.474576209675252,4.605085802590477
J.T. Realmuto,2021,C,537,4.6,test,3.8293391730788002,3.4658884081634933,3.5623684835637204
Buster Posey,2021,C,454,5.3,train,3.7838663355876134,4.461762166199109,4.271723957915435
Yasmani Grandal,2021,C,375,3.6,test,3.77515866060231,3.664103030805172,3.3845493126697526
Jeimer Candelario,2021,3B,626,3.9,test,3.7233702847553207,3.5040142332393884,3.8459528447916105
Xander Bogaerts,2021,SS,603,4.1,train,3.689889842965087,4.3211385814040035,4.3148742004587515
Enrique Hernandez,2021,CF,585,3.6,train,3.5542104376894676,3.962504357836856,3.691802119471809
Kyle Tucker,2021,RF,567,4.9,train,3.5381324321174112,4.535284202285271,4.708565113021982
Jorge Polanco,2021,2B,644,4.0,train,3.5174584757825906,3.8802405509405204,3.721195522020621
Whit Merrifield,2021,2B,720,2.7,train,3.507800059380938,2.851146702787729,3.414368065182063
Sean Murphy,2021,C,448,3.3,train,3.4871201821934155,2.842547817482142,3.155248896746867
