Name,Season,Team,ip,era,fip,war,split,xra9_lin,xra9_rf,xra9_xgb,xWAR_lin,xWAR_rf,xWAR_xgb
Corbin Burnes,2021,MIL,167.0,2.43,1.63,7.5,test,1.325473793715175,2.4246975238095287,2.5235837,6.952004393608428,4.7837580435837435,4.300231260549244
Zack Wheeler,2021,PHI,213.1,2.78,2.59,7.2,test,2.6243410642284806,2.710551375764449,2.7859347,6.056003941238603,5.562053385375651,5.069885387716934
Max Scherzer,2021,2 Tms,179.1,2.46,2.97,5.4,test,2.6490787425365507,3.3396850483797227,3.3145444,5.044710781786922,3.671606308301073,3.554127839350528
Gerrit Cole,2021,NYY,181.1,3.23,2.92,5.2,train,2.6961025139329884,3.3761199403455695,3.313343,5.014432516331529,3.6538703332743085,3.5954410390831044
Julio Urías,2021,LAD,185.2,2.96,3.13,5.0,train,2.776266039928407,2.9188031179209273,2.9419377,4.97696181359194,4.490521911438492,4.190400361570507
Walker Buehler,2021,LAD,207.2,2.47,3.16,5.6,train,3.1268677204844577,2.887896122920378,2.6946464,4.829342860374986,5.080959090351499,5.070741531711928
Nathan Eovaldi,2021,BOS,182.1,3.75,2.79,5.7,train,3.0673557515858034,3.4302532586931855,3.6130433,4.354540456674198,3.586296241294067,3.2078206580724715
Carlos Rodón,2021,CHW,132.2,2.37,2.65,5.0,train,2.29209099393373,2.615103968661107,2.4044192,4.203663919862016,3.5628318973827597,3.521755057407207
Kevin Gausman,2021,SFG,192.0,2.81,3.0,4.8,train,3.299831068164216,2.971658621293584,2.908267,4.137314017742335,4.565063961695721,4.392527126199415
Charlie Morton,2021,ATL,185.2,3.34,3.18,4.5,train,3.2405313543547907,3.2641750995675785,3.1819513,4.102480020303879,3.9211435213249466,3.858521662789024
Sandy Alcantara,2021,MIA,205.2,3.19,3.42,4.3,train,3.473946015228165,3.2384560074695363,3.2149723,4.058377751740261,4.391572374693701,4.224618074228203
Aaron Nola,2021,PHI,180.2,4.63,3.37,4.4,train,3.229093488774594,4.07799234045679,4.4410825,4.012684432493356,2.5098481717496863,2.060291752606005
Freddy Peralta,2021,MIL,142.1,2.85,3.14,3.9,test,2.79819226460266,2.735032636518717,2.9390657,3.787027894816253,3.6779384972495093,3.2182516470640805
Chris Bassitt,2021,OAK,157.1,3.15,3.34,3.3,train,3.05714691314813,3.0631793349954806,3.0352116,3.7730293504197028,3.6072807092736543,3.4451944729482875
Lance McCullers Jr.,2021,HOU,162.1,3.16,3.52,3.2,test,3.139863824937155,3.6205786860688347,3.3282166,3.7567423946862646,2.9177811701606156,3.2002263638978214
Lance Lynn,2021,CHW,157.0,2.69,3.32,4.3,train,3.119138935807551,2.738947017814139,2.7332604,3.6716404834908896,4.058120834130347,3.7969490324207604
Logan Webb,2021,SFG,147.1,3.05,2.73,4.0,train,3.0012709380181493,3.1327822958449896,2.961783,3.616457182100189,3.2865229658946773,3.306540610528835
Trevor Rogers,2021,MIA,133.0,2.64,2.55,4.3,test,2.754808527438062,2.7664357505827524,3.074777,3.6031931973106417,3.4052265286837473,2.8773939667410957
Brandon Woodruff,2021,MIL,179.1,2.56,2.96,4.7,train,3.476267226261462,3.012938952204892,2.720303,3.5379523986852512,4.192535732344298,4.348750641714964
Max Fried,2021,ATL,165.2,3.04,3.31,3.7,train,3.336849403009966,3.180497358043967,3.0945654,3.497616787721049,3.6207470902776806,3.5496185640054487
Robbie Ray,2021,TOR,193.1,2.84,3.69,3.9,train,3.69688873078843,3.0651654628543343,2.9095538,3.381224245997197,4.430487377301985,4.41583750344256
Adam Wainwright,2021,STL,206.1,3.05,3.66,3.9,train,3.8122799109850707,3.233252757117946,3.1485105,3.3669803887194676,4.4203797489029935,4.345418134982368
Frankie Montas,2021,OAK,187.0,3.37,3.37,4.0,train,3.6659362655023386,3.4618304917074028,3.3799665,3.33328003189889,3.63023332805488,3.619556868618791
